,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
775,Coraline,2009,100,7.7,80,75.29,"2,47,216","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
776,La vie d'Adèle,2013,180,7.7,90,2.2,"1,58,327","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
777,A Few Good Men,1992,138,7.7,62,141.34,"2,76,504",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
778,Home Alone,1990,103,7.7,63,285.76,"6,08,894","An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
779,Primal Fear,1996,129,7.7,47,56.12,"2,35,790","An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
780,Star Trek Into Darkness,2013,132,7.7,72,228.78,"4,91,195","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
781,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,295.98,"5,73,642","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
782,Ex Machina,2014,108,7.7,78,25.44,"5,66,200",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
783,Deliverance,1972,109,7.7,80,7.06,"1,15,449","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
784,The Game,1997,129,7.7,63,48.32,"4,12,820","After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
785,Blue Velvet,1986,120,7.7,76,8.55,"2,07,984","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
786,Apollo 13,I 1995,140,7.7,77,173.84,"3,05,800",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
787,3:10 to Yuma,2007,122,7.7,76,53.61,"3,22,981",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
788,Brokeback Mountain,2005,134,7.7,87,83.04,"3,70,434",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
789,Training Day,2001,122,7.7,69,76.63,"4,53,998",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
790,Silver Linings Playbook,2012,122,7.7,81,132.09,"7,25,800","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
791,Mr. Nobody,2009,141,7.7,63,0,"2,40,388","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
792,The Last of the Mohicans,1992,112,7.7,76,75.51,"1,79,305",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
793,Tangled,2010,100,7.7,71,200.82,"4,74,295","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
794,Y tu mamá también,2001,106,7.7,89,13.62,"1,26,393","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
795,The Lego Movie,2014,100,7.7,83,257.76,"3,74,806","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
796,Lost in Translation,2003,102,7.7,91,44.59,"4,70,517",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
797,Blazing Saddles,1974,93,7.7,73,119.5,"1,46,288","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
798,Halloween,1978,91,7.7,87,47,"2,90,938","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
799,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,42.34,"6,49,400","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
800,The Boondock Saints,1999,108,7.7,44,0.03,"2,44,623",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
801,X: First Class,2011,131,7.7,65,146.41,"7,08,854","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
802,Gravity,2013,91,7.7,96,274.09,"8,44,759",Two astronauts work together to survive after an accident leaves them stranded in space.
803,First Blood,1982,93,7.7,61,47.21,"2,64,762",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
804,"O Brother, Where Art Thou?",2000,107,7.7,69,45.51,"3,22,083","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
805,Donnie Brasco,1997,127,7.7,76,41.91,"3,19,607","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
806,Toy Story 4,2019,100,7.7,84,434.04,"2,66,236","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
807,The Bourne Supremacy,2004,108,7.7,73,176.24,"4,76,210","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
808,Midnight in Paris,2011,94,7.7,81,56.82,"4,37,729","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
809,Argo,2012,120,7.7,86,136.03,"6,27,864","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
810,What's Eating Gilbert Grape,1993,118,7.7,73,9.17,"2,45,980",A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
811,Who Framed Roger Rabbit,1988,104,7.7,83,156.45,"2,09,862",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
812,Crash,I 2004,112,7.7,66,54.58,"4,43,653","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
813,Detachment,2011,98,7.7,52,0.07,"93,233",A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
814,Wreck-It Ralph,2012,101,7.7,72,189.42,"4,41,831","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
815,Sound of Metal,2019,120,7.7,82,,"1,39,693",A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
816,Road to Perdition,2002,117,7.7,72,104.45,"2,77,525","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
817,Sense and Sensibility,1995,136,7.7,84,43.18,"1,21,065","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
818,The Color Purple,1985,154,7.7,78,98.47,"91,590",A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
819,The Fault in Our Stars,2014,126,7.7,69,124.87,"3,90,241",Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
820,The Theory of Everything,2014,123,7.7,71,35.89,"4,67,384",A look at the relationship between the famous physicist Stephen Hawking and his wife.
821,As Good as It Gets,1997,139,7.7,67,148.48,"3,09,535","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
822,The Boy in the Striped Pajamas,2008,94,7.7,55,9.03,"2,32,837","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
823,En man som heter Ove,2015,116,7.7,70,3.48,"64,544","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
824,Philadelphia,1993,125,7.7,66,77.32,"2,50,665","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
825,Naked,1993,131,7.7,85,1.77,"41,947",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
826,The Trial of the Chicago 7,2020,129,7.7,76,,"1,86,208","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
827,Lucky Number Slevin,2006,110,7.7,53,22.49,"3,20,308","A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
828,Empire of the Sun,1987,153,7.7,62,22.24,"1,30,914",A young English boy struggles to survive under Japanese occupation of China during World War II.
829,Fried Green Tomatoes,1991,130,7.7,64,82.42,"78,729",A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
830,Serpico,1973,130,7.7,81,29.8,"1,29,465",An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
831,Dirty Harry,1971,102,7.7,87,35.9,"1,63,225","When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
832,When Harry Met Sally...,1989,95,7.7,76,92.82,"2,30,346","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
833,Flipped,I 2010,90,7.7,45,1.75,"94,218",Two eighth-graders start to have feelings for each other despite being total opposites.
834,Glengarry Glen Ross,1992,100,7.7,82,10.73,"1,11,613",An examination of the machinations behind the scenes at a real estate office.
835,The Magnificent Seven,1960,128,7.7,74,4.91,"99,132",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
836,The French Connection,1971,104,7.7,94,15.63,"1,29,016","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
837,Being John Malkovich,1999,113,7.7,90,22.86,"3,45,794",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
838,Ray,I 2004,152,7.7,73,75.33,"1,53,269","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
839,This Is England,2006,101,7.7,86,0.33,"1,25,743","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
840,Goldfinger,1964,110,7.7,87,51.08,"1,96,952","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
841,Ordinary People,1980,124,7.7,86,54.8,"54,849","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
842,Der Name der Rose,1986,130,7.7,54,7.15,"1,12,550",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
843,Evil Dead II,1987,84,7.7,72,5.92,"1,75,393",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
844,Adaptation.,2002,115,7.7,83,22.25,"1,98,206",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
845,Kung fu,2004,99,7.7,78,17.11,"1,45,849","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
846,Happiness,1998,134,7.7,81,2.81,"72,600","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
847,Clerks,1994,92,7.7,70,3.15,"2,28,218","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
848,Star Trek II: The Wrath of Khan,1982,113,7.7,68,78.91,"1,26,179","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
849,Malcolm X,1992,202,7.7,73,48.17,"98,857","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination."
850,Wait Until Dark,1967,108,7.7,81,17.55,"32,432",A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
851,The Verdict,1982,129,7.7,77,54,"43,615","An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
852,Roma,2018,135,7.7,96,,"1,64,825",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
853,Kaze tachinu,2013,126,7.7,83,5.21,"91,714","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
854,Billy Elliot,2000,110,7.7,74,22,"1,39,205",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
855,Paprika,2006,90,7.7,81,0.88,"89,070","When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
856,Bonnie and Clyde,1967,111,7.7,86,,"1,17,290","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
857,Lola rennt,1998,81,7.7,77,7.27,"2,03,153","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
858,La grande bellezza,2013,141,7.7,86,2.85,"94,723","Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
859,Miller's Crossing,1990,115,7.7,66,5.08,"1,38,907","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
860,The Longest Day,1962,178,7.7,75,39.1,"57,799","The events of D-Day, told on a grand scale from both the Allied and German points of view."
861,The Dirty Dozen,1967,150,7.7,73,45.3,"76,680","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
862,Belle de jour,1967,100,7.7,,0.03,"46,947",A frigid young housewife decides to spend her midweek afternoons as a prostitute.
863,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,52.04,"2,10,750","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
864,Badlands,1973,94,7.7,93,,"75,961","An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
865,Finding Neverland,2004,106,7.7,67,51.68,"2,09,543",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
866,La planète sauvage,1973,72,7.7,73,0.19,"34,683","On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
867,Madeo,2009,129,7.7,79,0.55,"68,369",A mother desperately searches for the killer who framed her son for a girl's horrific murder.
868,Kubo and the Two Strings,2016,101,7.7,84,48.02,"1,34,870",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
869,Zulu,1964,138,7.7,77,,"41,266",Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
870,The Quiet Man,1952,129,7.7,85,10.55,"40,776","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
871,The Last Emperor,1987,163,7.7,76,43.98,"1,07,977","Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi."
872,Beasts of No Nation,2015,137,7.7,79,0.08,"84,576","A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
873,Me and Earl and the Dying Girl,2015,105,7.7,74,6.74,"1,35,367","High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
874,Fantasia,1940,124,7.7,96,76.41,"1,00,586","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
875,Abre los ojos,1997,119,7.7,,0.37,"71,612","A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
876,Hamlet,1996,242,7.7,,4.41,"39,146","Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
877,Short Cuts,1993,188,7.7,81,6.11,"46,382",The day-to-day lives of several suburban Los Angeles residents.
878,Zwartboek,2006,145,7.7,71,4.4,"78,822","In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
879,The African Queen,1951,105,7.7,91,0.54,"81,934","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
880,Perfetti sconosciuti,2016,96,7.7,,,"68,671","Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
881,Kurenai no buta,1992,94,7.7,83,,"95,476","In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
882,À bout de souffle,1960,90,7.7,,0.34,"85,255","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
883,Ajeossi,2010,119,7.7,,0.01,"72,490",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
884,Spoorloos,1988,107,7.7,,,"41,351","Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
885,Down by Law,1986,107,7.7,75,1.44,"53,716","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
886,Nebraska,2013,115,7.7,86,17.65,"1,20,726","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
887,The Magdalene Sisters,2002,114,7.7,83,4.89,"27,922",Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
888,Invasion of the Body Snatchers,1956,80,7.7,92,,"52,615",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
889,Jules et Jim,1962,105,7.7,97,,"43,269",Decades of a love triangle concerning two friends and an impulsive woman.
890,Waking Life,2001,99,7.7,84,2.89,"65,826",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
891,Omoide no Marnie,2014,103,7.7,72,0.77,"44,442","Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
892,Lat sau san taam,1992,128,7.7,,,"52,501",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
893,Hedwig and the Angry Inch,2001,95,7.7,85,3.03,"36,707",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
894,Cape Fear,1962,106,7.7,76,,"30,574",A lawyer's family is stalked by a man he once helped put in jail.
895,La double vie de Véronique,1991,98,7.7,86,2,"51,202","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
896,Night on Earth,1991,129,7.7,68,2.02,"63,486",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
897,Chun gwong cha sit,1997,96,7.7,70,0.19,"32,154",A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
898,Good Bye Lenin!,2003,121,7.7,68,4.06,"1,49,887","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
899,A Man for All Seasons,1966,120,7.7,72,28.35,"36,131","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
900,Black Narcissus,1947,101,7.7,86,,"26,424","A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
901,The Broken Circle Breakdown,2012,111,7.7,70,0.18,"42,208","Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
902,Frost/Nixon,2008,122,7.7,80,18.59,"1,10,599",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
903,Forushande,2016,124,7.7,85,2.4,"62,893","While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
904,Le Petit Prince,2015,108,7.7,70,1.34,"64,710","A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
905,Scarface,1932,93,7.7,90,,"29,289","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
906,The Caine Mutiny,1954,124,7.7,63,21.75,"28,896","When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command."
907,Les triplettes de Belleville,2003,80,7.7,91,7,"56,004","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
908,Ondskan,2003,113,7.7,61,0.02,"40,377","A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
909,Key Largo,1948,100,7.7,,,"42,823","A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
910,Diarios de motocicleta,2004,126,7.7,75,16.78,"1,03,329",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
911,Adams æbler,2005,94,7.7,51,0,"52,776",A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
912,Yume,1990,119,7.7,,1.96,"27,829",A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
913,Kokuhaku,2010,106,7.7,,,"40,817",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
914,The Lady Vanishes,1938,96,7.7,98,,"55,167","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
915,In America,2002,105,7.7,76,15.54,"43,824",A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
916,Gongdong gyeongbi guyeok JSA,2000,110,7.7,58,,"32,604","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
917,Marty,1955,90,7.7,82,,"25,813",A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.
918,Ta'm e guilass,1997,95,7.7,80,0.31,"33,855",An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
919,Toki o kakeru shôjo,2006,98,7.7,66,,"68,847","A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
920,Das Experiment,2001,120,7.7,60,0.14,"95,170","For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
921,Efter brylluppet,2006,120,7.7,78,0.41,"35,931","A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
922,The Purple Rose of Cairo,1985,82,7.7,75,10.63,"53,373","In 1935 New Jersey, a movie character walks off the screen and into the real world."
923,Hana-bi,1997,103,7.7,83,0.23,"31,963","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
924,The Muppet Christmas Carol,1992,85,7.7,64,27.28,"64,507",The Muppets present their own touching rendition of Charles Dickens' classic tale.
925,Love and Death,1975,85,7.7,89,,"39,838","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
926,The Breadwinner,2017,94,7.7,78,0.31,"27,280","In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
927,Le passé,2013,130,7.7,85,1.33,"50,016","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
928,Zelig,1983,79,7.7,,11.8,"43,232","""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
929,Auf der anderen Seite,2007,122,7.7,85,0.74,"32,878",A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
930,Once Upon a Time in... Hollywood,2019,161,7.6,83,142.5,"7,90,687",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
931,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,317.58,"8,17,964","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
932,American Psycho,2000,102,7.6,64,15.07,"6,67,815","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
933,Watchmen,2009,162,7.6,56,107.51,"5,66,739","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
934,Superbad,2007,113,7.6,76,121.46,"6,06,639",Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
935,Saw,2004,103,7.6,46,56,"4,39,407","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
936,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,389.81,"7,27,247","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
937,300,2006,117,7.6,52,210.61,"8,42,283",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
938,Deadpool 2,2018,119,7.6,66,324.59,"6,13,542","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
939,RoboCop,1987,102,7.6,70,53.42,"2,70,139","In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
940,The Fifth Element,1997,126,7.6,52,63.54,"4,89,404","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
941,The Butterfly Effect,2004,113,7.6,30,57.94,"5,05,912","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
942,Kick-Ass,2010,117,7.6,66,48.07,"5,79,158","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
943,A Star Is Born,2018,136,7.6,88,215.29,"4,02,218",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
944,The Thin Red Line,1998,170,7.6,78,36.4,"1,94,239","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
945,Office Space,1999,89,7.6,68,10.82,"2,78,187",Three company workers who hate their jobs decide to rebel against their greedy boss.
